"Type","Journal...Book","Title","Year","Authors","Experimental.Study.","N.","Scientific.topic","Topic.Family","Stimulus","Stimulus.Family","Type.of.framing","Measure.of.Efficacy..Output.","Output.family","Method","Emotion","Emotion.role","Key.findings","X","X.1","X.2","X.3","X.4","X.5","Method.of.Exploration","Jounral.checked"
NA,"Science Communication","From White Lab Coats and Crazy Hair to Actual Scientists: Exploring the Impact of Researcher Interaction and Performing Arts on Students’ Perceptions and Motivation for Science","2018","Mallén et al.","Yes","135","STEM","Other","in-person  stand up","Other","Type of framing","Perception of scientists,Interest in science","Behavioral","free-listing,pre- and post-survey","None","","(1) Drama based technieques increase interest in scientific careers
(2) interaction with scientists reduce stereotyped perception",NA,NA,NA,NA,NA,NA,"",""
NA,"Science Communication","From White Lab Coats and Crazy Hair to Actual Scientists: Exploring the Impact of Researcher Interaction and Performing Arts on Students’ Perceptions and Motivation for Science","2018","Mallén et al.","Yes","135","STEM","Other","short performances","Other","Type of framing","Perception of scientists,Interest in science","Behavioral","free-listing,pre- and post-survey","None","","(1) Drama based technieques increase interest in scientific careers
(2) interaction with scientists reduce stereotyped perception",NA,NA,NA,NA,NA,NA,"",""
NA,"Science Communication","From White Lab Coats and Crazy Hair to Actual Scientists: Exploring the Impact of Researcher Interaction and Performing Arts on Students’ Perceptions and Motivation for Science","2018","Mallén et al.","Yes","135","STEM","Other","improv theater","Other","Type of framing","Perception of scientists,Interest in science","Behavioral","free-listing,pre- and post-survey","None","","(1) Drama based technieques increase interest in scientific careers
(2) interaction with scientists reduce stereotyped perception",NA,NA,NA,NA,NA,NA,"",""
NA,"Science Communication","Countering the “Harmless E-Cigarette” Myth: The Interplay of Message Format,Message Sidedness,and Prior Experience With E-Cigarette Use in Misinformation Correction","2020","Wang & Huang","Yes","294","Cigarettes","Health","instagram message + 4 corrective messages","Online text,Image","N/A","Understanding","Epistemic","Questionnaire","None","","(1) stories more emotionally involving than nonstories but does not reduce counterarguing when used as correctives",NA,NA,NA,NA,NA,NA,"",""
NA,"Science Communication","How Effective Are Concrete and Abstract Climate Change Images? The Moderating Role of Construal Level in Climate Change Visual Communication","2021","Duan et al.","Yes","448","Climate Change","Environment","Images of different text/color/illustrative scales","Image","abstract/concrete","Intention to act","Behavioral","Questionnaire","Unspecified","Input","(1) concrete images does not lead to  increased level of concern",NA,NA,NA,NA,NA,NA,"",""
NA,"Science Communication","Tacit Understandings of Health Literacy: Interview and Survey Research With Health Journalists","2009","Hinnant et al.","Yes","396","Health","Health","Interview questions","Text","N/A","Understanding","Epistemic","Interview,Questionnaire","None","","N/A",NA,NA,NA,NA,NA,NA,"",""
NA,"Science Communication","To Eat or Not to Eat: Framing of GMOs in American Media and Its Effects on Attitudes and Behaviors","2020","Pjesivac et al.","Yes","165,182","GMO","Technology,Health","news sample","Text","risk/opportunity","Intention to act,Observed behavior","Behavioral","Questionnaire,observed behavior in choice of apple","Fear,Fear,Hope","Input","(1) Framng affect attitudes and can change them. 
(2) affect behavioral intentions but not actual behavior",NA,NA,NA,NA,NA,NA,"",""
NA,"Science Communication","The Effects of the “War on Science” Frame on Scientists’ Credibility","2019","Hardy et al.","Yes","1024","Generel Science","Other","blog article","Online text","war on science/challenge for science/neglect of science","Perceived credibility","Behavioral","Questionnaire","Unspecified","Input","(1) War on science frame makes conservatives report lower agreement with scientist credibility index",NA,NA,NA,NA,NA,NA,"",""
NA,"Science Communication","Debunking Misinformation About Genetically Modified Food Safety on Social Media: Can Heuristic Cues Mitigate Biased Assimilation?","2021","Wang & Huang","Yes","330","GMO","Technology,Health","facebook post","Online text","N/A","Understanding,Perceived credibility","Epistemic","Questionnaire","None","","(1) Corrective information can counteract influence of misinformation",NA,NA,NA,NA,NA,NA,"",""
NA,"Science Communication","Mother Nature’s Fury: Antagonist Metaphors for Natural Disasters Increase Forecasts of Their Severity and Encourage Evacuation","2021","Hauser et al.","Yes","1936","Natural disasters","Environment","Vignette","Text","antagonist/literal","Perceived risk","Epistemic","Questionnaire","None","","(1) antagonist framed increase perception of severity
(2) Metaphors are effective for risk communication",NA,NA,NA,NA,NA,NA,"",""
NA,"Science Communication","“Social Change” and “Status Quo” Framing Effects on Risk Perception: An Exploratory Experiment","2006","Durfee","Yes","111","Environment","Environment","news article","Text","Social change/status quo","Perceived risk","Epistemic","risk perception questionnaire","None","","(1) social change framing increase rissk awareness",NA,NA,NA,NA,NA,NA,"",""
NA,"Science Communication","Information Insufficiency and Information Seeking: An Experiment","2016","Hwang & Jeong","Yes","307","Health","Health","Vignette","Text","low/high distance","Information seeking","Behavioral","information-seeking questionnaire","None","","(1) high suffiency threshold result in greater information seeking intention",NA,NA,NA,NA,NA,NA,"",""
NA,"Science Communication","Information Insufficiency and Information Seeking: An Experiment","2016","Hwang & Jeong","Yes","307","Health","Health","background information","Text","low/high distance","Information seeking","Behavioral","information-seeking questionnaire","None","","(1) high suffiency threshold result in greater information seeking intention",NA,NA,NA,NA,NA,NA,"",""
NA,"Science Communication","Information Insufficiency and Information Seeking: An Experiment","2016","Hwang & Jeong","Yes","307","Health","Health","suggested strategies ","Text","low/high distance","Information seeking","Behavioral","information-seeking questionnaire","None","","(1) high suffiency threshold result in greater information seeking intention",NA,NA,NA,NA,NA,NA,"",""
NA,"Science Communication","The Impact of Message Source on the Effectiveness of Communications About Climate Change","2019","Bolsen et al.","Yes","1850","Climate Change","Environment","article","Text","threat to environment/USA","Perceived threat","Epistemic","threat perception questionnaire","Trust","","(1) Messages attributed to military leaders or republican party leaders can enhance impact of appeal.",NA,NA,NA,NA,NA,NA,"",""
NA,"Science Communication","Early Exposures to Ecogenomics: Effects of Priming and Web Site Interactivity Among Adolescents","2010","Bos et al.","Yes","273","Emergen technologies","Technology","webpage","Online text","N/A","Information processing,Attitude change","Epistemic,Attitudinal","Attitude questionnaire,observed time invested in information-processing,cognitive load questionnaire","None","","(1) Priming does not affect attitude development.",NA,NA,NA,NA,NA,NA,"",""
NA,"Science Communication","Increasing Information Seeking About Antibiotic Risks: Testing a Clinical Intervention Message Using the Risk Information Seeking and Processing Model","2020","Brinker et al.","Yes","400","Antibiotics","Health","message","Text","N/A","Information seeking,Perceived risk","Behavioral,Epistemic","risk perception Questionnaire","None","","(1) risk information messages increase perception of information insufficiency and information seeking",NA,NA,NA,NA,NA,NA,"",""
NA,"Science Communication","Predicting Intentions to Engage With Scientific Messages on Twitter: The Roles of Mirth and Need for Humor","2020","Yeo et al.","Yes","?","Generel Science","Other","twitter message","Online text","N/A","Intention to act,Attitude change","Behavioral,Attitudinal","Questionnaire","Mirth,Mirth","Input","(1) humor mediates engagement intentions",NA,NA,NA,NA,NA,NA,"",""
NA,"Science Communication","“Knowledge Is Power”: A Mixed-Methods Study Exploring Adult Audience Preferences for Engagement and Learning Formats Over 3 Years of a Health Science Festival","2015","Rogers et al.","Yes","661","Health","Health","lecture","Other","N/A","Engagement","Behavioral","Open question self-report","None","","(1) lectures work better than dialogue formats",NA,NA,NA,NA,NA,NA,"",""
NA,"Science Communication","“Knowledge Is Power”: A Mixed-Methods Study Exploring Adult Audience Preferences for Engagement and Learning Formats Over 3 Years of a Health Science Festival","2015","Rogers et al.","Yes","661","Health","Health","discussion","Other","N/A","Engagement","Behavioral","Open question self-report","None","","(1) lectures work better than dialogue formats",NA,NA,NA,NA,NA,NA,"",""
NA,"Science Communication","“Knowledge Is Power”: A Mixed-Methods Study Exploring Adult Audience Preferences for Engagement and Learning Formats Over 3 Years of a Health Science Festival","2015","Rogers et al.","Yes","661","Health","Health","expo","Other","N/A","Engagement","Behavioral","Open question self-report","None","","(1) lectures work better than dialogue formats",NA,NA,NA,NA,NA,NA,"",""
NA,"Science Communication","“Knowledge Is Power”: A Mixed-Methods Study Exploring Adult Audience Preferences for Engagement and Learning Formats Over 3 Years of a Health Science Festival","2015","Rogers et al.","Yes","661","Health","Health","lab experiment","Other","N/A","Engagement","Behavioral","Open question self-report","None","","(1) lectures work better than dialogue formats",NA,NA,NA,NA,NA,NA,"",""
NA,"Science Communication","The Power of Being Transported: Efficacy Beliefs,Risk Perceptions,and Political Affiliation in the Context of Climate Change","2020","Bieniek-Tabasco et al.","Yes","6,241,391","Climate Change","Environment","Video clip","Video","transport high/low","Perceived risk,Efficacy beliefs","Behavioral,Epistemic","Risk perception questionnaire,efficacy belief questionnaire","None","","(1) transportation affects efficacy beliefs and risk perception
(1) Political belief affects efficacy beliefs and rsk perceptions",NA,NA,NA,NA,NA,NA,"",""
NA,"Science Communication","Learning From Science News via Interactive and Animated Data Visualizations: An Investigation Combining Eye Tracking,Online Survey,and Cued Retrospective Reporting","2020","Greussing et al.","Yes","45","Generel Science","Other","news article","Text","static/interactive/interactive+animated","Attention,Recollection","Epistemic","eye tracking,information recall,involvement questionnaire","None","","(1) interactivity and animation engage audience more strongly -- translates into highr learning",NA,NA,NA,NA,NA,NA,"",""
NA,"Science Communication","Science Information in Fictional Movies: Effects of Context and Gender","2010","Barriga et al.","Yes","96","Generel Science","Other","video clip","Video","Transport: High/none","Resistance to misinformation","Epistemic","Questionnaire","None","","(1) incorrect science is accepted as true from movies depend on gender of participant and the centrality of information in relation to the plot",NA,NA,NA,NA,NA,NA,"",""
NA,"Science Communication","Putting Environmental Infographics Center Stage: The Role of Visuals at the Elaboration Likelihood Model’s Critical Point of Persuasion","2015","Lazard & Atkinson","Yes","168","Environment","Environment","webpage","Text,Image","text/infographic","Information processing","Behavioral","Questionnaire","None","","(1) visual content is important for persuasiveness of message",NA,NA,NA,NA,NA,NA,"",""
NA,"Science Communication","Hedged Language and Partisan Media Influence Belief in Science Claims","2020","Butterfuss et al.","Yes","335","Generel Science","Other","Scientific claims: Certain/hedged","Text","correct/misinformation","Perceived credibility","Epistemic","Questionnaire","None","","(1) hedged language influence belief in information for individuals with certain epistemic profiles
(1) higher faith in instititutoin leads to lower belief in claims from scientific sources",NA,NA,NA,NA,NA,NA,"",""
NA,"Science Communication","Third-Person Perception of Science Narratives: The Case of Climate Change Denial","2018","Dahlstrom","Yes","428","Climate Change","Environment","news article","Text","narrative/non-narrative","Perceived persuasiveness,Influence of message","Epistemic","Questionnaire","None","","(1) Individuals are aware of influence of narratives and can resist the influence when they perceive the message to have negative influence
(2) otherwise they underestimate influence of narratives",NA,NA,NA,NA,NA,NA,"",""
NA,"Science Communication","Can a Personality Trait Predict Talk About Science?: Sensation Seeking as a Science Communication Targeting Variable","2007","Hwang & Southwell","Yes","667","Generel Science","Other","television news","Video","N/A","Engagement","Behavioral","Questionnaire","None","","(1) Sensation seeking predicts talk about science",NA,NA,NA,NA,NA,NA,"",""
NA,"Science Communication","Science Exemplars in the Eye of the Beholder: How Exposure to Online Science Information Affects Attitudes","2015","Knobloch-Westerwcik et al.","Yes","276","Generel Science","Other","article","Text","exemplar/numeric","Attitude change","Attitudinal","observed exposure,attitude questionnaire","None","","(1) Exemplar reading fosterede longer reading amongst high empathy individuals but less exposure among high-nmumeracy individuals",NA,NA,NA,NA,NA,NA,"",""
NA,"Science Communication","The Impact of Climate Change–Related Imagery and Text on Public Opinion and Behavior Change","2016","Hart & Feldman","Yes","1575","Climate Change","Environment","news article","Text,Image","image,text","Perceived importance,Intention to act","Epistemic","Questionnaire","None","","(1) Perceived efficacy and issue importance correlate with  change in behavior
(2) exposure to images does not negatively affect perceived efficacy or perceived importance",NA,NA,NA,NA,NA,NA,"",""
NA,"Science Communication","How Involvement,Citation Style,and Funding Source Affect the Credibility of University Scientists","2002","Sprecker","Yes","77","None","Other","news article","Text","public/private, quote/paraphrase","Perceived credibility","Epistemic","credibility questionnaire","None","","(1) funding source or citation style does not affect perceived credibility",NA,NA,NA,NA,NA,NA,"",""
NA,"Science Communication","Environmental Science in the Media: Effects of Opposing Viewpoints on Risk and Uncertainty Perceptions","2015","Kortenkmap et al.","Yes","247","Environment","Environment","news article","Text","N/A","Perceived risk","Epistemic","risk perception questionnaire","None","","(1) reading discredited opposiing viewpoint influence risk and uncertainty perception similarly as reading balanced opposiing viewpooints",NA,NA,NA,NA,NA,NA,"",""
NA,"Public Understanding of Science","Emotion and judgments of scientific research","2020","Drummond & Fishhoff","Yes","705","Health","Health","news article","Text","N/A","Perceived trust,Qualitative judgment","Epistemic","scientific understanding questionnaire,judgment questionnaire,trust questionnaire,reasoning ability test","Fear,Anger,Disgust,Happiness,Sadness,Surprise","Input","(1) disgust increse negative judgment of research and scientists.",NA,NA,NA,NA,NA,NA,"",""
NA,"Public Understanding of Science","Audience responses to television news coverage of medical advances: The mediating role of audience emotions and identification","2014","Hong","Yes","99","Health","Health","television news","Video","human exemplar: yes/no","Perceived quality","Epistemic","Questionnaire","Hope,Fear,Anger,Relief","Input","(1) news stories with human example intensify positive emotions",NA,NA,NA,NA,NA,NA,"",""
NA,"Public Understanding of Science","Disgusting microbes: The effect of disgust on perceptions of risks related to modifying microbiomes","2019","Yeo et al.","Yes","1005","Microbes","Health","news article","Text","digust/no disgust,human/no human","Perceived risk","Epistemic","Questionnaire","Disgust","Input","(1) disgust increase risk perception",NA,NA,NA,NA,NA,NA,"",""
NA,"Public Understanding of Science","Does a picture tell a thousand words? The uses of digitally produced,multimodal pictures for communicating information about Alzheimer’s disease","2015","Dobos et al.","Yes","206","Health","Health","pictures","Image","N/A","Understanding","Epistemic","Questionnaire","Anger","Input","(1) pictures are useful for evoking emotions,rather than convey spicific messages",NA,NA,NA,NA,NA,NA,"",""
NA,"Public Understanding of Science","Fostering Climate Change consensus: The role of intimacy in group discussions","2021","van Swol et al.","Yes","329","Climate Change","Environment","news article","Text","N/A","Opinion change","Behavioral","Questionnaire","None","","(1) intimacy increases likelihood of reaching consensus and change of opinion",NA,NA,NA,NA,NA,NA,"",""
NA,"Public Understanding of Science","Public perceptions of expert disagreement: Bias and incompetence or a complex and random world?","2015","Dieckmann et al.","Yes","1500","Generel Science","Other","news article","Text,Online text,Video","paper/online/television","Perception of expert disputes","Epistemic","cognitive ability questiionnaire,self-report questionnaire","None","","(1) people with low education and low self-knowledge attribute expert disbutes to incompetence
(2) people with high self-report knowledge attribute dispute to ideological or financial reasons
(3) high education attribute disputes to natural factors such as complexity
",NA,NA,NA,NA,NA,NA,"",""
NA,"Public Understanding of Science","Call them COVIDiots: Exploring the effects of aggressive communication style and psychological distance in the communication of COVID-19","2021","Chu et al.","Yes","464","COVID","Health","letter from a doctor","Text","close/distant,neutral/agressive","Perceived likability,Perceived message quality","Attitudinal","Questionnaire","Aggression","Input","(1) agressive commuinication may generate positive outcome when dealing with public understanding",NA,NA,NA,NA,NA,NA,"",""
NA,"Public Understanding of Science","Relationships among affective factors and preferred engagement in science-related activities","2012","Lin et al.","Yes","8375","Generel Science","Other","natural variables","Text","N/A","Understanding","Epistemic","Questionnaire","None","","(1) development of science competency may not be the best way to ensure public engagement and undderstanding of science",NA,NA,NA,NA,NA,NA,"",""
NA,"Public Understanding of Science","A review of the effects of uncertainty in public science communication","2012","Gustafson & Rice","Yes","48","Sience Communication","Other","N/A","Other","N/A","Perceived credibility","Epistemic","Literature review","Uncertainty","Input","(1) most credibility-reduction effects of uncertainty are from consensus uncertainty",NA,NA,NA,NA,NA,NA,"",""
NA,"Public Understanding of Science","Stop avoiding the inevitable: The effects of anthropomorphism in science writing for non-experts","2021","Sullivan","Yes","174","Generel Science","Other","text","Text","Anthromorphic/un-anthromorphic","Understanding","Epistemic","Questionnaire","None","","(1) Anthropomorphism is evocative without causing significant misconceptions",NA,NA,NA,NA,NA,NA,"",""
NA,"Public Understanding of Science","Hot topics in science communication: Aggressive language decreases trustworthiness and credibility in scientific debates","2019","König & Jucks","Yes","221","Climate Change","Other","video","Video","aggressive/non-aggressive","Perceived trust","Behavioral","Questionnaire","Trust","Input","(1) person introduced as a lobbyist decrease perceived trustworthiness
(2) Aggressive language is perceived as less trustworthy",NA,NA,NA,NA,NA,NA,"",""
NA,"Public Understanding of Science","Shifting public engagement: How media coverage of Climate Change conferences affects Climate Change audience segments","2019","Wonneberger et al.","Yes","876","Climate Change","Environment","television news","Video","N/A","Belief change,Engagement,Intention to act","Behavioral","Questionnaire","None","","(1) media effects may be limited in changing public opinion due to dis(confirmation) effects",NA,NA,NA,NA,NA,NA,"",""
NA,"Public Understanding of Science","Adolescent responses toward a new technology: first associations,information seeking and affective responses to ecogenomics","2009","Bos et al.","Yes","752","Economics","Other","text","Text","N/A","Information seeking,Perceived credibility","Behavioral","open/closed questions,trust questionnaire,information intention questionnaire","Trust","Input","(1) adolescent information seeking is mostly internet,books and science communication professionals were judged as most trustworthy information source",NA,NA,NA,NA,NA,NA,"",""
NA,"Public Understanding of Science","Conflicting stories about public scientific controversies: Effects of news convergence and divergence on scientists’ credibility","2010","Jensen & Hurley","Yes","242","Environment","Other","news article","Text","convergent/divergent","Perceived certainty","Epistemic","perceived uncertainty,perceived trustworthiness","None","","(1) (?)",NA,NA,NA,NA,NA,NA,"",""
NA,"Public Understanding of Science","Persuasive images in popular science: Testing judgments of scientific reasoning and credibility","2012","Gruber & Dickerson","Yes","183","Generel Science","Other","article","Text","image/no image","Perceived credibility","Epistemic","credibility questionnaire","None","","(1) images alone may not have strong effect on persuasiveness",NA,NA,NA,NA,NA,NA,"",""
NA,"Public Understanding of Science","Abstract or concrete? The effect of Climate Change images on people’s estimation of egocentric psychological distance","2019","Duan et al","Yes","402","Climate Change","Environment","news article","Text,Video","abstract/concrete","Perceived psychological distance","Epistemic","Questionnaire","None","","(1) abstract images increase perception of Climate Change as distant issue",NA,NA,NA,NA,NA,NA,"",""
NA,"Public Understanding of Science","Abstract or concrete? The effect of Climate Change images on people’s estimation of egocentric psychological distance","2019","Duan et al","Yes","402","Climate Change","Environment"," television news","Text,Video","abstract/concrete","Perceived psychological distance","Epistemic","Questionnaire","None","","(1) abstract images increase perception of Climate Change as distant issue",NA,NA,NA,NA,NA,NA,"",""
NA,"Public Understanding of Science","Framing effects on risk perception of nanotechnology","2008","Schütz & Wiedermann","Yes","194","Nanotechnology","Technology","text","Text","issue framing/context framing","Perceived risk","Epistemic","probability of risk scenarios","None","","(1) different types of benefit framing does not affect risk perception",NA,NA,NA,NA,NA,NA,"",""
NA,"Public Understanding of Science","Naming is framing: The framing effect of technology name on public attitude toward automated vehicles","2021","Liu et al.","Yes","908","Automated vehicles","Technology","text","Text","automated/driverless","Perceived benefit,Intention to act","Behavioral,Epistemic","Questionnaire","None","","(1) Technology naming influence behavioral intention through cognitive and affective responses",NA,NA,NA,NA,NA,NA,"",""
NA,"Public Understanding of Science","Transformation of the media landscape: Infotainment versus expository narrations for communicating science in online videos","2020","Davis et al.","Yes","870","Climate Change","Other","video","Video","expository/infotainment","Perceived credibility,Perceived likability","Epistemic","Questionnaire","None","","(1) expository narration is liked and believed more than infotainment. However,viewers without university hbackground prefer infotainment.",NA,NA,NA,NA,NA,NA,"",""
NA,"Public Understanding of Science","Knowledge,(mis-)conceptions,risk perception,and behavior change during pandemics: A scoping review of 149 studies","2020","Majid et al.","No,Review","149","Health","Health","N/A","Other","N/A","Perceived risk,Behavioral change","Behavioral,Epistemic","Literature review","None","","(?)",NA,NA,NA,NA,NA,NA,"",""
NA,"Public Understanding of Science","The spread of fake science: Lexical concreteness,proximity,misinformation sharing,and the moderating role of subjective knowledge","2020","Kirkpatrick","Yes","358","Climate Change,COVID","Other","News quote","Text","N/A","Perceived threat","Behavioral","Questionnaire","None","Input","(1) concrete misinformation prime psychological proximity which increases threat perception",NA,NA,NA,NA,NA,NA,"",""
NA,"Public Understanding of Science","Religiosity as a perceptual filter: examining processes of opinion formation about nanotechnology","2009","Brossard et al.","Yes","706","Nanotechnology","Technology","natural variables","Other","N/A","Policy support","Behavioral","perception of risk questionnaire,Questionnaire","None","","(1) risk and benefit perceptions drive public support for funding tech,not levels of knowledge
(2) rekuguiys belief indirectly affect levels of support",NA,NA,NA,NA,NA,NA,"",""
NA,"Public Understanding of Science","The role of scientific knowledge in shaping public attitudes to GM technologies","2012","Mielby et al.","Yes","2000","GMO","Health,Technology","science questions","Text","N/A","Understanding","Epistemic","understanding questionnaire","None","","(1) knowledge increases likelihood of differentiated opinions",NA,NA,NA,NA,NA,NA,"",""
NA,"Public Understanding of Science","The role of scientific knowledge in shaping public attitudes to GM technologies","2012","Mielby et al.","Yes","2000","GMO","Health,Technology","open questions","Text","N/A","Understanding","Epistemic","understanding questionnaire","None","","(1) knowledge increases likelihood of differentiated opinions",NA,NA,NA,NA,NA,NA,"",""
NA,"Public Understanding of Science","Public participation processes related to nuclear research installations: What are the driving factors behind participation intention?","2013","Turcanu & Perko","Yes","1020","Nuclear research","Technology","natural variables","Other","N/A","Engagement","Behavioral","attitude questionnaire,participation questionnaire","None","","(1) Moral norms and attitudes towards participation are strongest predictor of participation intention",NA,NA,NA,NA,NA,NA,"",""
NA,"Public Understanding of Science","Investigating public science interest and understanding: evidence for the importance of free-choice learning","2007","Falk et al.","Yes","877","Generel Science","Other","natural variables","Other","N/A","Perceived understanding","Behavioral","Telephone interview","None","","(1) Science information comes from many different places,including leisure time and free-choice learning",NA,NA,NA,NA,NA,NA,"",""
NA,"Public Understanding of Science","Scientists as comedians: The effects of humor on perceptions of scientists and scientific messages","2020","Yeo et al.","Yes","110","Generel Science","Other","video","Video","N/A","Perceived credibility","Epistemic","perceived likeability,perceived expertise,","Mirth","Input","(1) respondents who perceive more humor had more positive views about comedy as source of scientific information",NA,NA,NA,NA,NA,NA,"",""
