Type,Journal / Book,Title,Year,Authors,Experimental Study?,N?,Scientific topic,Method,Stimulus,Type of framing,Measure of Efficacy,Emotion,Measure type,Key findings,,,,,,,,,,Method of Exploration,Jounral checked
,,Fostering climate change consensus: The role of intimacy in group discussions,2021,van Swol et al.,Yes,329,Climate change,"belief questionnaire, group attraction questionnaire, ",newspaper article,n/a,change of opinion,n/a,behavioral,(1) intimacy increases likelihood of reaching consensus and change of opinion,,,,,,,,,,,
,,Public perceptions of expert disagreement: Bias and incompetence or a complex and random world?,2015,Dieckmann et al.,Yes,1500,general science,"cognitive ability questiionnaire, self-report questionnaire",forecasts: newspaper/online/television,N/A,??,Emotion,,"(1) people with low education and low self-knowledge attribute expert disbutes to incompetence
(2) people with high self-report knowledge attribute dispute to ideological or financial reasons
(3) high education attribute disputes to natural factors such as complexity
",,,,,,,,,,,
,,Call them COVIDiots: Exploring the effects of aggressive communication style and psychological distance in the communication of COVID-19,2021,Chu et al.,Yes,464,COVID,"questionnaires: Distance perception, expectancy violation, compliance with recommendation",letter from a doctor,"close/distant, neutral/agressive",compliance with recommendation,Aggression,behavioral,(1) agressive commuinication may generate positive outcome when dealing with public understanding,,,,,,,,,,,
,,Relationships among affective factors and preferred engagement in science-related activities,2012,Lin et al.,Yes,8375,General science,questionnaire: interest in learning,scientific competence questionnaire,N/A,successful information processing/absorbsion,N/A,epistemic,(1) development of science competency may not be the best way to ensure public engagement and undderstanding of science,,,,,,,,,,,
,,A review of the effects of uncertainty in public science communication,2012,Gustafson & Rice,Yes,48,Sience Communication,Literature review,N/A,N/A,"discovered negative, positive or null effects of different kinds of uncertainty",uncertainty,behavioral,(1) most credibility-reduction effects of uncertainty are from consensus uncertainty,,,,,,,,,,,
,,Stop avoiding the inevitable: The effects of anthropomorphism in science writing for non-experts,2021,Sullivan,Yes,174,General science,knowledge and understanding questionnaire,text,Anthromorphic/un-anthromorphic,Understanding,N/A,epistemic,(1) Anthropomorphism is evocative without causing significant misconceptions,,,,,,,,,,,
,,Hot topics in science communication: Aggressive language decreases trustworthiness and credibility in scientific debates,2019,König & Jucks,Yes,221,N/A,"likability questionnaire, marchiavellianism questionnaire",video,aggressive/non-aggressive,perceived trust,Trust,behavioral,"(1) person introduced as a lobbyist decrease perceived trustworthiness
(2) Aggressive language is perceived as less trustworthy",,,,,,,,,,,
,,A picture is not always worth a thousand words: The visual quality of photographs affects the effectiveness of interpretive signage for science communication,2021,Zhu et al.,Yes,,,,,,,,,"(1) High quality photographs are beneficial for communicating science (intention to read, enjoyment of information, understanding and recallection)",,,,,,,,,,,
,,Shifting public engagement: How media coverage of climate change conferences affects climate change audience segments,2019,Wonneberger et al.,Yes,876,Climate Change,questionnaire,News segments (?),N/A,"change in belief, involvement, behavioral intentions",N/A,behavioral,(1) media effects may be limited in changing public opinion due to dis(confirmation) effects,,,,,,,,,,,
,,"Adolescent responses toward a new technology: first associations, information seeking and affective responses to ecogenomics",2009,Bos et al.,Yes,752,Economics,"open/closed questions, trust questionnaire, information intention questionnaire",text,N/A,"information seeking intention, trust",N/A,behavioral,"(1) adolescent information seeking is mostly internet, books and science communication professionals were judged as most trustworthy information source",,,,,,,,,,,
,,Conflicting stories about public scientific controversies: Effects of news convergence and divergence on scientists’ credibility,2010,Jensen & Hurley,Yes,242,N/A,"perceived uncertainty, perceived trustworthiness",news article,convergent/divergent,uncertainty,N/A,behavioral,(1) (?),,,,,,,,,,,
,,Persuasive images in popular science: Testing judgments of scientific reasoning and credibility,2012,Gruber & Dickerson,Yes,183,N/A,credibility questionnaire,article,image/no image,perceived credibility,N/A,behavioral,(1) images alone may not have strong effect on persuasiveness,,,,,,,,,,,
,,Abstract or concrete? The effect of climate change images on people’s estimation of egocentric psychological distance,2019,Duan et al,Yes,402,Climate Change,egocentric psychological distance questionnaire,"general news (tv, articles)",abstract/concrete,perceived psychological distance,N/A,behavioral,(1) abstract images increase perception of climate change as distant issue,,,,,,,,,,,
,,Framing effects on risk perception of nanotechnology,2008,Schütz & Wiedermann,Yes,194,nanotechnology,probability of risk scenarios,written descriptions,issue framing/context framing,risk perception,N/A,behavioral,(1) different types of benefit framing does not affect risk perception,,,,,,,,,,,
,,Naming is framing: The framing effect of technology name on public attitude toward automated vehicles,2021,Liu et al.,Yes,908,Automated vehicles,"trust questionnaire, benefit questionnaire",text,automated/driverless,"perceived benefit, behavioral intention",N/A,behavioral,(1) Technology naming influence behavioral intention through cognitive and affective responses,,,,,,,,,,,
,,Transformation of the media landscape: Infotainment versus expository narrations for communicating science in online videos,2020,Davis et al.,Yes,870,N/A,"believability questionnaire, likeability questionnaire, ",videos: Expository/infotainment,N/A,"believability, likeness",NN/A,behavioral,"(1) expository narration is liked and believed more than infotainment. However, viewers without university hbackground prefer infotainment.",,,,,,,,,,,
,,"Knowledge, (mis-)conceptions, risk perception, and behavior change during pandemics: A scoping review of 149 studies",2020,Majid et al.,"No, Review",149,Health,Literature review,N/A,N/A,N/A,N/A,,(?),,,,,,,,,,,
,,"The spread of fake science: Lexical concreteness, proximity, misinformation sharing, and the moderating role of subjective knowledge",2020,Kirkpatrick,Yes,358,N/A,"intention to share questionnaire, threat questionnaire",News quote,N/A,threat perception,intention to share information,behavioral,(1) concrete misinformation prime psychological proximity which increases threat perception,,,,,,,,,,,
,,Religiosity as a perceptual filter: examining processes of opinion formation about nanotechnology,2009,Brossard et al.,Yes,706,Nanotechnology,"perception of risk questionnaire, perception of risk questionnaire, support for funding questionnaire",N/A,N/A,support for funding,N/A,behavioral,"(1) risk and benefit perceptions drive public support for funding tech, not levels of knowledge
(2) rekuguiys belief indirectly affect levels of support",,,,,,,,,,,
,,The role of scientific knowledge in shaping public attitudes to GM technologies,2012,Mielby et al.,Yes,2000,GM,understanding questionnaire,"science questions, open questions",N/A,understanding of biology,N/A,epistemic,(1) knowledge increases likelihood of differentiated opinions,,,,,,,,,,,
,,Public participation processes related to nuclear research installations: What are the driving factors behind participation intention?,2013,Turcanu & Perko,Yes,1020,Nuclear research,"attitude questionnaire, participation questionnaire",N/A,N/A,public participation intentions,N/A,behavioral,(1) Moral norms and attitudes towards participation are strongest predictor of participation intention,,,,,,,,,,,
,,Investigating public science interest and understanding: evidence for the importance of free-choice learning,2007,Falk et al.,Yes,877,N/A,Telephone interview,N/A,N/A,Source of knowledge,N/A,behavioral,"(1) Science information comes from many different places, including leisure time and free-choice learning",,,,,,,,,,,
,,Scientists as comedians: The effects of humor on perceptions of scientists and scientific messages,2020,Yeo et al.,Yes,110,N/A,"perceived likeability, perceived expertise, ",videos,N/A,perceived validity of comedy as source,mirth,behavioral,(1) respondents who perceive more humor had more positive views about comedy as source of scientific information,,,,,,,,,,,
,,Emotion and the Psychological Distance of Climate Change,2019,Chu & Yang,Yes,429,Climate Change,"perceived distance questionnaire, emotion indicator slide",press story,close/distant,"Mitigating action
Policy support","anger, fear, sadness, guilt, hope, shame, anxiety",behavioral,"(1) Reduced psychological distance leads to increase in emotions such as anger, fear, sadness, and guilt
(2) Increased psychological distance leads to increase in abstract emotion, such as hope
(3) anger, anxiety and hope had more impact on mitigation action and policy support than fear, guilt, and shame",,,,,,,,,,,
,,Using Political Efficacy Messages to Increase Climate Activism: The Mediating Role of Emotions,2015,Feldman & Hart,Yes,425,Climate Change,"intention to participate questionnaire, emotions questionnaire",news article,N/A,intended participation ,N/A,behavioral,"(1) Exposure to efficacy information influence hope and fear, but not anger
(2) effects vary by political idealogy
(3) exposure to efficacy information increases participation via hope",,,,,,,,,,,
,,Effects of Goal Framing and Emotions on Perceived Threat and Willingness to Sacrifice for Climate Change,2017,Bilandzic et al.,Yes,247,Climate change,"perceived threat questionnaire, willingness to sacrifice questionnaire",text,gain/loss,"perceived threat, willingness to sacrifice","guilt, fear, hope, ",behavioral,"(1) Gain-negative frames increase perceived threat and willingness to sacrifice
(2) Loss frames increase perceived threat and willingness to sacrifice mediated by guilt and fear
(3) gain-positive frame increase perceived threat and willingness to sacrifice through hope",,,,,,,,,,,
,,A public health frame arouses hopeful emotions about climate change,2012,Myers et al.,Yes,1127,Climate Change,emotion response,text,environhment/national security/health,emotional effects,"hope, anger",emotional,"(1) Public health focus ilicit most emotional reaction and support for CC mitigation
(2) National security frame may elicit anger",,,,,,,,,,,
,,"Message framing influences perceived climate change competence, engagement, and behavioral intentions",2011,Gifford & Comeau,Yes,1038,Climate change,"perceived competence, engagement questionnaire, behavior intentions questionnaire",text,motivation/sacrifice,engagement intentions,n/a,behavioral,(1) Motivational framing works better than sacrifice framing to increase engagement,,,,,,,,,,,
,,When Fairness is Flawed: Effects of False Balance Reporting and Weight-of-Evidence Statements on Beliefs and Perceptions of Climate Change,2021,Imundo & Rapp,Yes,552,Climate change,"perceived expertise, global warming belief scale",fictional interview,n/a,perceived competence,n/a,behavioral,"(1) Contrarian claims make issues seem more contentious, reduce perceived competence
(2) statements about broader consensus can improve perception",,,,,,,,,,,
,,"Understanding the relationship between sharing personal anecdotes, warmth, curiosity, risk perception and mitigation in communicating the threat of climate change",2021,Maktoufi,Yes,36,Wildlife,Q-method,photographs,n/a,likability,n/a,behavioral,"(1) Anecdotes don't affect curiosity or risk perception
(2) There is positive relationship between curiosity and risk perception and between trust in scientists and risk perception.",,,,,,,,,,,
,,Individual solutions to collective problems: the paradoxical treatment of environmental issues on Mexican and French YouTubers' videos,2021,lartigue et al.,,,,,,,,,,,,,,,,,,,,,
,,Uniquely disgusting? Physiological disgust and attitudes toward GM food and other food and health technologies,2021,Chinn & Hasell,Yes,73,GM foods,"heart rate sensors, risk perception questionnaire",photos,n/a,"perceived risk, policy support",n/a,behavioral,"(1) Disgust drives skepticism towards GM food, but not other food and health technologies",,,,,,,,,,,
,,Co-benefits associated with public support for climate-friendly COVID-19 recovery policies and political activism,2021,Thaker & FLoyd,Yes,1040,Covid,"co-benefit questionnaire, policy support questionnaire, intention to engage questionnaire",Survey,n/a,"policy support, political engagement intention",n/a,behavioral,"(1) perceptions of co-benefits of actions to address climate change and infectious disease is associated with policy support and engagement
(2) Effect mediated through perceived efficacy",,,,,,,,,,,
,,"Toward a theory of persuasive hope: effects of cognitive appraisals, hope appeals, and hope in the context of climate change",2014,Chadwick,Yes,245,Climate Change,"behavioral intention questionnaire, perceived efficacy, perceived hope",text (?),n/a,"persuasion, behavioral intention",hope,behavioral,(1) hope appeals is persuasive and motivates behavior,,,,,,,,,,,
,,Taking climate change here and now – mitigating ideological polarization with psychological distance,2018,Chu & Yang,Yes,1086,Climate Change,"risk perception questionnaire, policy support questionnaire",video,proximal/distant,"policy support, risk perception",n/a,behavioral,"(1) Ideological polarization in CC perception is reduced when presented with closeness frames contra distant framing. However, cultural worldwiev and environmental value still had consistent influence regardless of framing",,,,,,,,,,,
,,Collective guilt mediates the effect of beliefs about global warming on willingness to engage in mitigation behavior,2010,Ferguson & Branscombe,Yes,79,Climate Change,collective guilt questionnaire,in-person text survey,n/a,willingness to engage,guilt,behavioral,(1) Collective guilt mediates willingness to engage in mitigating behaviour,,,,,,,,,,,
,,The Role of Transportation in the Persuasiveness of Public Narrative,2000,Green & Brock,Yes,"59, 274, 258",n/a,"recall test, transportation questionnaire",text,fiction/non-fiction,recall,n/a,epistemic,(1) Transportation (absorption into a story) leads to more story-consistent beliefs and evaluations,,,,,,,,,,,
,,Emotions Shape Decisions through Construal Level: The Case of Guilt and Shame,2014,Han et al.,Yes,171,n/a,"intention to participate questionnaire, observed choice of MP3",verbal instructions to recall shameful/previous day events,n/a,"intention to participate, choice of MP3 player","guilt, shame",behavioral,(1) Guilt and shame affect differently,,,,,,,,,,,
,,The Future is Now: Reducing Psychological Distance to Increase Public Engagement with Climate Change,2016,Jones et al.,Yes,333,Climate Change,"psychological distance questionnaire, intention to mitigate questionnaire",¨videos,proximal/distal framing,intention to mitigate,n/a,behavioral,(1) Frames that reduce psychological distance are best for increasing public engagement,,,,,,,,,,,
,,“Fear Won't Do It”: Promoting Positive Engagement With Climate Change Through Visual and Iconic Representations,2009,O'Neill & Nicholson-Cole,Yes,30,Climate Change,q-methodology,images,n/a,intention to engage (?),fear,behavioral,"(1) Fear is ineffective for motivating personal engagement
(2) Nonthreatening images and icons that link to everyday emotions and concerns are most engaging.",,,,,,,,,,,
,,Does reduced psychological distance increase climate engagement? On the limits of localizing climate change,2018,Schuldt et al.,Yes,491,Climate Change,policy support questionnaire,visual maps,proximal/distal,policy support,n/a,behavioral,(1) Reduced psychological distance does not translate into increased policy support,,,,,,,,,,,
,,The role of emotion in global warming policy support and opposition,2013,Smith & Leiserowitz,Yes,1001,Climate Change,"policy support questionnaire, emotion questionnaire",survey,n/a,policy support,"fear, sadness, hope, depression, guilt, disgust, worry",behavioral,"(1) Discrete emotions are stronger predictor of policy support than cultural worldview, negative affect, image asociaations or sociodemographic variable
(2) worry, interest and hope are strongly associated with policy support.",,,,,,,,,,,
,,Portraying the perils to polar bears: The role of empathic and objective perspective-taking toward animals in climate change communication,2014,bloodhard & Swim,Yes,241,Climate Change,"emotions questionnaire, support for environmental groups",text messages,empathic/objective,support for environmental groups,"worry, compassion, distress,  shame, prideanger",behavioral,"(1) No benefit from taking objective instead of empathetic framing
(2) Portrayals of polar bears harmed motivate to donate money to environmental activist groups. Empathy and hope explain effects for environmentalists, empathy, hope, worry, personal guilt and boredom explain effects for non-environmentalists",,,,,,,,,,,
