"labels","values","parents","ids"
"Economics",0," Technology"," Technology - Economics"
"Economics",0,"Environment","Environment - Economics"
"Economics",0,"Health","Health - Economics"
"Economics",1,"Other","Other - Economics"
"Economics",0,"Technology","Technology - Economics"
"Emergen technologies",0," Health"," Health - Emergen technologies"
"Emergen technologies",0," Technology"," Technology - Emergen technologies"
"Emergen technologies",0,"Environment","Environment - Emergen technologies"
"Emergen technologies",0,"Health","Health - Emergen technologies"
"Emergen technologies",0,"Other","Other - Emergen technologies"
"Emergen technologies",1,"Technology","Technology - Emergen technologies"
"Environment",0," Health"," Health - Environment"
"Environment",0," Technology"," Technology - Environment"
"Environment",4,"Environment","Environment - Environment"
"Environment",0,"Health","Health - Environment"
"Environment",1,"Other","Other - Environment"
"Environment",0,"Technology","Technology - Environment"
"Flooding",0," Health"," Health - Flooding"
"Flooding",0," Technology"," Technology - Flooding"
"Flooding",1,"Environment","Environment - Flooding"
"Flooding",0,"Health","Health - Flooding"
"Flooding",0,"Other","Other - Flooding"
"Flooding",0,"Technology","Technology - Flooding"
"Food",0," Health"," Health - Food"
"Food",0," Technology"," Technology - Food"
"Food",0,"Environment","Environment - Food"
"Food",1,"Health","Health - Food"
"Food",0,"Other","Other - Food"
"Food",0,"Technology","Technology - Food"
"Generel Science",0," Health"," Health - Generel Science"
"Generel Science",0," Technology"," Technology - Generel Science"
"Generel Science",0,"Environment","Environment - Generel Science"
"Generel Science",0,"Health","Health - Generel Science"
"Generel Science",14,"Other","Other - Generel Science"
"Generel Science",0,"Technology","Technology - Generel Science"
"GMO",1," Health"," Health - GMO"
"GMO",0," Technology"," Technology - GMO"
"GMO",0,"Environment","Environment - GMO"
"GMO",5,"Health","Health - GMO"
"GMO",0,"Other","Other - GMO"
"GMO",5,"Technology","Technology - GMO"
"Health",0," Health"," Health - Health"
"Health",0," Technology"," Technology - Health"
"Health",0,"Environment","Environment - Health"
"Health",9,"Health","Health - Health"
"Health",0,"Other","Other - Health"
"Health",0,"Technology","Technology - Health"
"Machinery hazards",0," Health"," Health - Machinery hazards"
"Machinery hazards",1," Technology"," Technology - Machinery hazards"
"Machinery hazards",0,"Environment","Environment - Machinery hazards"
"Machinery hazards",0,"Health","Health - Machinery hazards"
"Machinery hazards",0,"Other","Other - Machinery hazards"
"Machinery hazards",0,"Technology","Technology - Machinery hazards"
"Microbes",0," Health"," Health - Microbes"
"Microbes",0," Technology"," Technology - Microbes"
"Microbes",0,"Environment","Environment - Microbes"
"Microbes",1,"Health","Health - Microbes"
"Microbes",0,"Other","Other - Microbes"
"Microbes",0,"Technology","Technology - Microbes"
"Nanotechnology",0," Health"," Health - Nanotechnology"
"Nanotechnology",0," Technology"," Technology - Nanotechnology"
"Nanotechnology",0,"Environment","Environment - Nanotechnology"
"Nanotechnology",0,"Health","Health - Nanotechnology"
"Nanotechnology",0,"Other","Other - Nanotechnology"
"Nanotechnology",2,"Technology","Technology - Nanotechnology"
"Natural disasters",0," Health"," Health - Natural disasters"
"Natural disasters",0," Technology"," Technology - Natural disasters"
"Natural disasters",1,"Environment","Environment - Natural disasters"
"Natural disasters",0,"Health","Health - Natural disasters"
"Natural disasters",0,"Other","Other - Natural disasters"
"Natural disasters",0,"Technology","Technology - Natural disasters"
"None",0," Health"," Health - None"
"None",0," Technology"," Technology - None"
"None",0,"Environment","Environment - None"
"None",0,"Health","Health - None"
"None",5,"Other","Other - None"
"None",0,"Technology","Technology - None"
"Nuclear research",0," Health"," Health - Nuclear research"
"Nuclear research",0," Technology"," Technology - Nuclear research"
"Nuclear research",0,"Environment","Environment - Nuclear research"
"Nuclear research",0,"Health","Health - Nuclear research"
"Nuclear research",0,"Other","Other - Nuclear research"
"Nuclear research",1,"Technology","Technology - Nuclear research"
"Scientific topic",0," Health"," Health - Scientific topic"
"Scientific topic",0," Technology"," Technology - Scientific topic"
"Scientific topic",0,"Environment","Environment - Scientific topic"
"Scientific topic",0,"Health","Health - Scientific topic"
"Scientific topic",1,"Other","Other - Scientific topic"
"Scientific topic",0,"Technology","Technology - Scientific topic"
"Sience Communication",0," Health"," Health - Sience Communication"
"Sience Communication",0," Technology"," Technology - Sience Communication"
"Sience Communication",0,"Environment","Environment - Sience Communication"
"Sience Communication",0,"Health","Health - Sience Communication"
"Sience Communication",1,"Other","Other - Sience Communication"
"Sience Communication",0,"Technology","Technology - Sience Communication"
"Space",0," Health"," Health - Space"
"Space",0," Technology"," Technology - Space"
"Space",0,"Environment","Environment - Space"
"Space",0,"Health","Health - Space"
"Space",1,"Other","Other - Space"
"Space",0,"Technology","Technology - Space"
"STEM",0," Health"," Health - STEM"
"STEM",0," Technology"," Technology - STEM"
"STEM",0,"Environment","Environment - STEM"
"STEM",0,"Health","Health - STEM"
"STEM",1,"Other","Other - STEM"
"STEM",0,"Technology","Technology - STEM"
"Virus",0," Health"," Health - Virus"
"Virus",0," Technology"," Technology - Virus"
"Virus",0,"Environment","Environment - Virus"
"Virus",1,"Health","Health - Virus"
"Virus",0,"Other","Other - Virus"
"Virus",0,"Technology","Technology - Virus"
"Wildlife",0," Health"," Health - Wildlife"
"Wildlife",0," Technology"," Technology - Wildlife"
"Wildlife",2,"Environment","Environment - Wildlife"
"Wildlife",0,"Health","Health - Wildlife"
"Wildlife",0,"Other","Other - Wildlife"
"Wildlife",0,"Technology","Technology - Wildlife"
